type;sourceName;sourceVersion;device;unit;creationDate;startDate;endDate;value
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c489f9f0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-26 08:08:40 -0400;2017-03-26 08:04:54 -0400;2017-03-26 08:05:54 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c489f6d0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-26 08:36:06 -0400;2017-03-26 08:33:50 -0400;2017-03-26 08:34:50 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4c9f310>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-26 09:02:04 -0400;2017-03-26 08:56:39 -0400;2017-03-26 08:57:39 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8e330>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-26 09:02:04 -0400;2017-03-26 08:57:39 -0400;2017-03-26 08:58:39 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8e740>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-26 09:02:04 -0400;2017-03-26 08:58:39 -0400;2017-03-26 08:59:39 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8e470>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-26 09:02:04 -0400;2017-03-26 08:59:39 -0400;2017-03-26 09:00:39 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8e010>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-26 09:02:04 -0400;2017-03-26 09:00:39 -0400;2017-03-26 09:01:39 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4e9b2b0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-26 09:08:02 -0400;2017-03-26 09:04:01 -0400;2017-03-26 09:05:01 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8df70>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-26 09:35:56 -0400;2017-03-26 09:29:16 -0400;2017-03-26 09:30:16 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8e0b0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-27 01:50:28 -0400;2017-03-27 01:43:44 -0400;2017-03-27 01:44:44 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8de80>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-27 04:57:35 -0400;2017-03-27 04:54:56 -0400;2017-03-27 04:55:56 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8dd40>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-27 05:03:12 -0400;2017-03-27 04:58:07 -0400;2017-03-27 04:59:07 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8dc50>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-27 05:03:12 -0400;2017-03-27 04:59:07 -0400;2017-03-27 05:00:07 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8dbb0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-27 07:39:27 -0400;2017-03-27 07:36:07 -0400;2017-03-27 07:37:07 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8de30>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-27 08:01:46 -0400;2017-03-27 07:58:02 -0400;2017-03-27 07:59:02 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8dd90>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-27 10:27:14 -0400;2017-03-27 10:24:24 -0400;2017-03-27 10:25:24 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8db10>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-27 10:28:36 -0400;2017-03-27 10:26:19 -0400;2017-03-27 10:27:19 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4a8dc00>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-27 10:28:38 -0400;2017-03-27 10:27:19 -0400;2017-03-27 10:28:19 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c468acd0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-27 10:43:20 -0400;2017-03-27 10:41:13 -0400;2017-03-27 10:42:13 -0400;1
HKQuantityTypeIdentifierAppleExerciseTime;Omair’s Apple Watch;3.1.3;<<HKDevice: 0x1c4c83340>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch2,4, software:3.1.3>;min;2017-03-27 11:00:52 -0400;2017-03-27 10:56:46 -0400;2017-03-27 10:57:46 -0400;1
